Carl Schmertmann,,Complete Set of CT & QS Fits to 226 5-year schedules,,,,,,,,,,,,,,,,,,
26 May 2003,,Source for Original Data: US Census International Database,,,,,,,,,,,,,,,,,,
,,http://www.census.gov/ipc/www/idbacc.html    [downloaded on 17 June 2002],,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,US Census Data Base (1000 5fx),,,,,,,,,COALE-TRUSSELL FIT,,,,,,QS FIT,,,,
2002 SCHEDULE,TFR,5f15,5f20,5f25,5f30,5f35,5f40,5f45,,tfr,a0,k,m,RE,,R,alpha,P,H,RE
Czech Rep,1.18,18.0,85.6,82.8,36.2,12.0,1.7,0.0,,1.19,13.8,1.19,2.90,0.6,,0.100,15.0,24.7,30.9,1.7
Denmark,1.73,9.1,59.7,125.6,102.4,39.4,9.1,1.0,,1.72,17.4,2.12,3.03,6.5,,0.134,15.2,29.4,34.9,1.1
Djibouti,5.64,180.1,276.0,258.5,187.8,137.7,58.9,29.2,,5.64,9.8,0.63,0.48,3.7,,0.280,10.7,21.9,36.9,3.9
Dominica,2.01,24.2,87.9,128.5,101.5,44.1,14.4,1.6,,2.01,13.3,2.91,2.48,5.0,,0.135,12.0,28.2,35.1,2.4
Dominican Rep,2.94,97.5,178.6,150.8,108.7,38.4,13.9,0.9,,3.04,4.4,2.07,1.69,5.7,,0.185,10.2,23.4,32.7,5.9
Ecuador,3.05,65.5,147.2,159.4,123.2,73.8,35.9,5.5,,3.06,9.1,1.29,0.88,2.1,,0.166,10.0,25.2,36.7,1.0
Egypt,2.99,44.1,154.6,179.8,125.7,66.8,22.4,5.3,,2.99,11.9,1.31,1.46,1.0,,0.189,13.1,25.8,34.8,1.2
El Salvador,3.29,99.8,188.2,159.1,114.3,63.3,26.5,7.1,,3.29,12.2,0.53,0.82,2.1,,0.192,13.5,21.6,34.1,1.7
Eq Guinea,4.81,143.8,239.3,232.1,169.1,116.4,46.7,15.0,,4.87,7.5,1.03,0.67,2.3,,0.248,8.7,23.4,36.5,2.5
Eritrea,5.80,117.2,232.7,258.8,234.9,178.8,103.4,34.6,,5.73,11.0,0.70,0.06,3.9,,0.262,7.7,25.4,41.1,1.9
Estonia,1.24,26.8,85.5,74.7,41.1,16.3,3.4,0.2,,1.25,12.9,0.86,1.87,2.0,,0.092,14.1,23.7,31.4,1.8
Ethiopia,6.94,114.6,267.6,292.5,264.9,226.4,129.7,92.6,,6.61,14.3,0.35,-0.17,7.4,,0.287,11.8,24.2,42.7,6.9
Faroe Isl,2.27,14.5,101.1,162.3,114.9,47.9,12.4,0.8,,2.28,15.5,2.52,2.99,2.1,,0.169,14.9,27.8,34.4,1.4
Fiji,2.83,44.8,159.2,166.9,113.4,56.5,20.1,5.9,,2.82,12.9,0.93,1.32,2.0,,0.182,13.8,24.8,34.1,1.9
Finland,1.70,10.0,63.1,118.2,96.2,38.2,12.8,1.9,,1.69,16.4,2.29,2.83,5.6,,0.125,14.6,29.0,35.1,1.5
France,1.75,7.3,55.3,129.6,104.9,42.2,9.1,0.5,,1.73,18.0,2.06,3.13,5.1,,0.139,16.4,29.3,34.9,2.7
French Guiana,3.13,77.3,158.0,181.1,120.6,62.8,21.4,4.9,,3.17,6.5,4.60,2.17,3.4,,0.188,7.3,26.2,34.5,1.1
French Poly,2.18,29.7,105.7,134.7,104.1,45.4,15.2,2.0,,2.19,11.8,2.99,2.38,3.9,,0.142,12.2,27.2,34.9,4.2
Gabon,3.65,138.4,164.3,161.9,120.7,85.9,36.9,21.9,,3.76,0.0,1.11,0.41,5.4,,0.170,0.0,22.3,37.4,4.8
Gambia,5.61,166.9,256.3,259.0,201.3,141.7,64.5,31.9,,5.65,4.2,1.33,0.53,3.4,,0.268,3.6,24.0,37.9,3.2
Gaza Strip,6.29,121.3,294.3,303.4,247.3,189.8,98.0,4.8,,6.32,13.5,0.48,0.23,2.2,,0.313,12.8,23.6,39.3,2.3
Georgia,1.48,44.0,131.0,65.0,37.1,14.6,3.5,0.2,,1.46,18.3,0.02,2.09,6.7,,0.152,18.3,18.8,27.1,6.4
Germany,1.39,9.8,55.9,94.1,79.3,30.4,6.7,0.6,,1.39,15.9,2.60,2.86,8.1,,0.102,13.4,29.2,35.0,3.6
Ghana,3.69,67.0,150.8,183.9,158.2,103.3,57.9,16.1,,3.65,8.5,1.47,0.63,4.6,,0.186,8.7,26.5,39.0,2.4
Gibraltar,1.65,9.7,61.0,114.2,92.9,36.8,12.6,1.9,,1.63,16.5,2.40,2.90,5.7,,0.121,14.6,29.0,35.1,1.6
Greece,1.34,12.1,59.6,96.1,68.9,26.2,5.3,0.6,,1.34,15.4,2.51,3.00,5.3,,0.100,13.7,28.3,34.2,1.4
Greenland,2.43,74.1,147.1,129.6,87.0,37.4,11.3,0.2,,2.49,7.0,1.63,1.61,3.5,,0.154,10.9,23.7,32.9,3.7
Grenada,2.50,76.4,119.5,131.1,83.1,53.2,30.2,5.7,,2.53,0.4,10.88,1.71,7.2,,0.131,3.2,25.1,35.7,5.5
Guadeloupe,1.92,17.8,80.0,128.9,99.2,41.8,14.2,2.2,,1.91,14.7,2.55,2.65,4.8,,0.134,13.4,28.4,35.0,1.4
Guam,3.73,74.6,205.9,230.6,148.8,67.3,16.4,2.0,,3.77,9.9,3.53,2.60,1.6,,0.246,11.4,25.9,33.6,1.9
Guatemala,4.51,94.4,216.2,231.3,174.0,126.9,50.1,8.6,,4.52,11.1,0.86,0.59,2.3,,0.238,11.1,24.7,37.4,2.8
Guernsey,1.36,18.2,47.4,84.5,83.6,27.5,8.4,0.5,,1.33,15.6,2.61,2.60,16.7,,0.096,9.7,30.9,35.5,2.6
Guinea,5.32,87.8,247.5,263.8,220.8,156.9,68.1,18.4,,5.29,13.1,0.64,0.39,1.5,,0.275,12.7,24.6,38.5,2.2
Guinea-Bissau,5.13,86.9,239.2,260.0,219.0,144.8,63.1,13.7,,5.13,12.0,0.83,0.54,1.8,,0.272,12.0,25.1,38.0,2.0
Guyana,2.09,23.2,91.1,130.0,104.7,47.1,18.0,3.0,,2.08,13.1,3.00,2.42,4.5,,0.136,12.5,27.9,35.4,3.2
Haiti,4.30,64.1,163.4,211.3,192.5,145.5,64.8,18.5,,4.28,9.1,1.53,0.54,1.9,,0.217,9.7,27.3,40.0,3.0
Honduras,4.03,100.4,192.2,184.0,148.4,112.6,59.6,9.2,,4.02,13.5,0.37,0.22,1.8,,0.195,13.5,21.6,39.0,1.2
Hong Kong,1.30,5.6,39.0,90.6,86.6,33.6,5.2,0.2,,1.31,18.5,2.21,3.12,11.5,,0.103,15.1,30.5,35.5,1.4
Hungary,1.25,25.2,76.2,86.0,43.6,15.5,3.0,0.1,,1.26,12.1,3.24,3.36,3.5,,0.093,12.2,25.9,32.1,1.4
Iceland,2.00,19.0,83.8,129.8,105.6,50.1,9.8,0.9,,2.01,14.4,2.88,2.59,5.3,,0.137,12.8,28.6,35.3,4.3
India,2.98,51.4,182.1,167.8,108.7,54.1,23.8,7.6,,2.95,14.4,0.56,1.13,2.5,,0.195,14.9,23.4,33.3,2.0
Indonesia,2.54,50.2,124.8,141.9,105.3,59.6,21.5,5.1,,2.55,7.8,2.33,1.55,1.0,,0.148,10.4,25.9,35.7,1.4
Iran,2.01,19.3,86.8,136.4,100.5,42.5,15.1,2.1,,2.00,14.4,2.54,2.66,4.0,,0.141,13.5,28.1,34.8,1.0
Iraq,4.63,44.4,166.7,213.3,237.6,155.3,85.8,23.6,,4.59,11.9,1.16,0.35,7.5,,0.237,11.8,27.9,40.6,7.6
Ireland,1.90,17.9,50.4,103.7,130.1,66.0,11.8,0.4,,1.88,17.4,2.38,2.33,17.4,,0.136,10.8,32.8,37.2,1.4
Israel,2.54,15.4,106.4,168.8,132.4,65.4,17.0,1.9,,2.55,14.7,2.56,2.55,2.6,,0.176,14.7,27.9,35.4,3.1
Italy,1.19,6.7,37.1,81.4,75.1,32.0,6.5,0.3,,1.19,17.6,2.23,2.86,8.8,,0.090,14.6,30.2,35.6,2.1
