sex,age,reference body weight,water,energy 1.4,energy 1.6,energy 1.8,energy 2.0,carbohydrates min,carbohydrates max,dietary fibre,fat min,fat max,protein AR,protein PRI,Calcium,Iron,Zinc,Copper,Magnesium,Fluoride,Iodine,Manganese,Molybdenum,Phosphorus,Potassium,Selenium,Vitamin A,Vitamin B1,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin B7,Vitamin B9,Vitamin B12,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Choline
female,19,58.5,2,7.9,9,10.1,11.2,45,60,25,20,35,0.66,0.83,1000,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,20,58.5,2,7.9,9,10.1,11.2,45,60,25,20,35,0.66,0.83,1000,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,21,58.5,2,7.9,9,10.1,11.2,45,60,25,20,35,0.66,0.83,1000,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,22,58.5,2,7.9,9,10.1,11.2,45,60,25,20,35,0.66,0.83,1000,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,23,58.5,2,7.9,9,10.1,11.2,45,60,25,20,35,0.66,0.83,1000,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,24,58.5,2,7.9,9,10.1,11.2,45,60,25,20,35,0.66,0.83,1000,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,25,58.5,2,7.9,9,10.1,11.2,45,60,25,20,35,0.66,0.83,950,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,26,58.5,2,7.9,9,10.1,11.2,45,60,25,20,35,0.66,0.83,950,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,27,58.5,2,7.9,9,10.1,11.2,45,60,25,20,35,0.66,0.83,950,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,28,58.5,2,7.9,9,10.1,11.2,45,60,25,20,35,0.66,0.83,950,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,29,58.5,2,7.9,9,10.1,11.2,45,60,25,20,35,0.66,0.83,950,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,30,58.5,2,7.6,8.7,9.8,10.8,45,60,25,20,35,0.66,0.83,950,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,31,58.5,2,7.6,8.7,9.8,10.8,45,60,25,20,35,0.66,0.83,950,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,32,58.5,2,7.6,8.7,9.8,10.8,45,60,25,20,35,0.66,0.83,950,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,33,58.5,2,7.6,8.7,9.8,10.8,45,60,25,20,35,0.66,0.83,950,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,34,58.5,2,7.6,8.7,9.8,10.8,45,60,25,20,35,0.66,0.83,950,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,35,58.5,2,7.6,8.7,9.8,10.8,45,60,25,20,35,0.66,0.83,950,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,36,58.5,2,7.6,8.7,9.8,10.8,45,60,25,20,35,0.66,0.83,950,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,37,58.5,2,7.6,8.7,9.8,10.8,45,60,25,20,35,0.66,0.83,950,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,38,58.5,2,7.6,8.7,9.8,10.8,45,60,25,20,35,0.66,0.83,950,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,39,58.5,2,7.6,8.7,9.8,10.8,45,60,25,20,35,0.66,0.83,950,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,40,58.5,2,7.5,8.6,9.7,10.7,45,60,25,20,35,0.66,0.83,950,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,41,58.5,2,7.5,8.6,9.7,10.7,45,60,25,20,35,0.66,0.83,950,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,42,58.5,2,7.5,8.6,9.7,10.7,45,60,25,20,35,0.66,0.83,950,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,43,58.5,2,7.5,8.6,9.7,10.7,45,60,25,20,35,0.66,0.83,950,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,44,58.5,2,7.5,8.6,9.7,10.7,45,60,25,20,35,0.66,0.83,950,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,45,58.5,2,7.5,8.6,9.7,10.7,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,46,58.5,2,7.5,8.6,9.7,10.7,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,47,58.5,2,7.5,8.6,9.7,10.7,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,48,58.5,2,7.5,8.6,9.7,10.7,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,49,58.5,2,7.5,8.6,9.7,10.7,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,50,58.5,2,6.8,8.5,9.6,10.7,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,51,58.5,2,6.8,8.5,9.6,10.7,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,52,58.5,2,6.8,8.5,9.6,10.7,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,53,58.5,2,6.8,8.5,9.6,10.7,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,54,58.5,2,6.8,8.5,9.6,10.7,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,55,58.5,2,6.8,8.5,9.6,10.7,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,56,58.5,2,6.8,8.5,9.6,10.7,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,57,58.5,2,6.8,8.5,9.6,10.7,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,58,58.5,2,6.8,8.5,9.6,10.7,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,59,58.5,2,6.8,8.5,9.6,10.7,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,60,58.5,2,6.8,7.8,8.8,9.7,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,61,58.5,2,6.8,7.8,8.8,9.7,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,62,58.5,2,6.8,7.8,8.8,9.7,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,63,58.5,2,6.8,7.8,8.8,9.7,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,64,58.5,2,6.8,7.8,8.8,9.7,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,65,58.5,2,6.8,7.8,8.8,9.7,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,66,58.5,2,6.8,7.8,8.8,9.7,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,67,58.5,2,6.8,7.8,8.8,9.7,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,68,58.5,2,6.8,7.8,8.8,9.7,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,69,58.5,2,6.8,7.8,8.8,9.7,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,70,58.5,2,6.8,7.7,8.7,9.6,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,71,58.5,2,6.8,7.7,8.7,9.6,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,72,58.5,2,6.8,7.7,8.7,9.6,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,73,58.5,2,6.8,7.7,8.7,9.6,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,74,58.5,2,6.8,7.7,8.7,9.6,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,75,58.5,2,6.8,7.7,8.7,9.6,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,76,58.5,2,6.8,7.7,8.7,9.6,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,77,58.5,2,6.8,7.7,8.7,9.6,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,78,58.5,2,6.8,7.7,8.7,9.6,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,79,58.5,2,6.8,7.7,8.7,9.6,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,80,58.5,2,6.8,7.7,8.7,9.6,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,81,58.5,2,6.8,7.7,8.7,9.6,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,82,58.5,2,6.8,7.7,8.7,9.6,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,83,58.5,2,6.8,7.7,8.7,9.6,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,84,58.5,2,6.8,7.7,8.7,9.6,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,85,58.5,2,6.8,7.7,8.7,9.6,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,86,58.5,2,6.8,7.7,8.7,9.6,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,87,58.5,2,6.8,7.7,8.7,9.6,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,88,58.5,2,6.8,7.7,8.7,9.6,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,89,58.5,2,6.8,7.7,8.7,9.6,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,90,58.5,2,6.8,7.7,8.7,9.6,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,91,58.5,2,6.8,7.7,8.7,9.6,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,92,58.5,2,6.8,7.7,8.7,9.6,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,93,58.5,2,6.8,7.7,8.7,9.6,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,94,58.5,2,6.8,7.7,8.7,9.6,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,95,58.5,2,6.8,7.7,8.7,9.6,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,96,58.5,2,6.8,7.7,8.7,9.6,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,97,58.5,2,6.8,7.7,8.7,9.6,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
