"BehaviorSpace results (NetLogo 6.0.4)"
"SIMPLE-crop-model.nlogo"
"experiment"
"01/13/2020 17:50:15:119 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-9","9","-9","9"
"[run number]","precipitation_daily-cum_rate2_yearly-mean","CO2-mean","solar_annual-min","precipitation_daily-cum_rate2_yearly-sd","CO2-daily-fluctuation","seed","precipitation_yearly-sd","solar_annual-max","precipitation_daily-cum_plateau-value_yearly-sd","precipitation_daily-cum_n-sample","precipitation_daily-cum_inflection1_yearly-sd","CO2-annual-deviation","precipitation_daily-cum_max-sample-size","precipitation_daily-cum_inflection2_yearly-sd","precipitation_daily-cum_inflection2_yearly-mean","temperature_daily-mean-fluctuation","temperature_annual-min-at-2m","solar_daily-mean-fluctuation","temperature_daily-lower-deviation","temperature_annual-max-at-2m","temperature_daily-upper-deviation","end-simulation-in-tick","precipitation_yearly-mean","precipitation_daily-cum_inflection1_yearly-mean","precipitation_daily-cum_rate1_yearly-mean","display-mode","precipitation_daily-cum_plateau-value_yearly-mean","precipitation_daily-cum_rate1_yearly-sd","type-of-experiment","[step]","T","T_max","T_min","RAIN","solarRadiation","ET_0","mean [WATp] of patches","mean [ARID] of patches","mean [biomass] of patches with [position crop typesOfCrops = 0]","mean [biomass] of patches with [position crop typesOfCrops = 1]","mean [yield] of patches with [position crop typesOfCrops = 0]","mean [yield] of patches with [position crop typesOfCrops = 1]"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","27","10.691283219688518","15.691283219688518","5.691283219688518","2.4818897663325936","10.493094718321458","2.362371812335948","0.08500603421015908","0.5503657732708682","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","28","19.145173504779013","24.145173504779013","14.145173504779013","0","10.608036832000867","2.989460528536348","0.08260545492598298","0.6787943160633689","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","29","24.699580362672492","29.699580362672492","19.699580362672492","0","16.833567754312348","4.5745877648016755","0.0804353312530886","0.8102453130669375","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","30","12.729950182456488","17.729950182456488","7.729950182456488","0","10.278381859049079","2.4819882897867345","0.07847353945279167","0.6838354462236184","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","31","15.443287952581175","20.443287952581173","10.443287952581175","0","12.790788905177902","3.0749901322608","0.0767000796653247","0.7693053036024939","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","32","17.225409056064247","22.225409056064247","12.225409056064247","0","15.156694083837742","3.6127254464686245","0.07509687201745328","0.8224932758797653","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","33","14.450051208499367","19.450051208499367","9.450051208499367","0","8.708983243501965","2.3641735715459835","0.07364757230377728","0.7547896260886141","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","34","24.297969183802337","29.297969183802337","19.297969183802337","14.646189640105495","8.855133622794503","2.9812908722657716","0.10543779394925382","0.3525955485020091","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","35","10.095568493876705","15.095568493876705","5.095568493876705","0","13.020593079051865","2.6579331385957294","0.10107576573012517","0.3435458317912491","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","36","10.218526238097246","15.218526238097246","5.218526238097246","0","10.878344207357022","2.3791642463398333","0.09713249222003364","0.3370321504858813","0","0","0","0"
